CODIGO;DENOMINACION;TIPOELEM;VIDRIO;ACABADO
PAV.0504.C.NG;PUERTA PA MONT PIVOTANTE CHAPA NOGAL + VIDRIO GRIS;PIVOTANTE;GRIS;CHAPA NOGAL
PAV.0505.L.BM03;PUERTA PA MONT PIVOTANTE LACA BLANCO MAT 9003 + VIDRIO GRIS OSCURO;PIVOTANTE;GRIS OSCURO;LACA BLANCO MAT 9003
PAV.0505.L.NMT;PUERTA PA MONT PIVOTANTE LACA NEGRO MATE TEXT + VIDRIO GRIS OSCURO;PIVOTANTE;GRIS OSCURO;LACA NEGRO MATE TEXT
PAV.0505.L.C;PUERTA PA MONT PIVOTANTE LACADO CORTEN + VIDRIO GRIS OSCURO;PIVOTANTE;GRIS OSCURO;LACADO CORTEN
PAV.0505.C.RB;PUERTA PA MONT PIVOTANTE CHAPA ROBLE + VIDRIO GRIS OSCURO;PIVOTANTE;GRIS OSCURO;CHAPA ROBLE
PAV.0505.C.NG;PUERTA PA MONT PIVOTANTE CHAPA NOGAL + VIDRIO GRIS OSCURO;PIVOTANTE;GRIS OSCURO;CHAPA NOGAL
;;;;
PAV.0601.L.BM03;PUERTA PA MONT PIVOT DOBLE LACA BLANCO MAT 9003 + VIDRIO TRANSPAR;PIVOT DOBLE;TRANSPAR;LACA BLANCO MAT 9003
PAV.0601.L.NMT;PUERTA PA MONT PIVOT DOBLE LACA NEGRO MATE TEXT + VIDRIO TRANSPAR;PIVOT DOBLE;TRANSPAR;LACA NEGRO MATE TEXT
PAV.0601.L.C;PUERTA PA MONT PIVOT DOBLE LACADO CORTEN + VIDRIO TRANSPAR;PIVOT DOBLE;TRANSPAR;LACADO CORTEN
PAV.0601.C.RB;PUERTA PA MONT PIVOT DOBLE CHAPA ROBLE + VIDRIO TRANSPAR;PIVOT DOBLE;TRANSPAR;CHAPA ROBLE
PAV.0601.C.NG;PUERTA PA MONT PIVOT DOBLE CHAPA NOGAL + VIDRIO TRANSPAR;PIVOT DOBLE;TRANSPAR;CHAPA NOGAL
PAV.0602.L.BM03;PUERTA PA MONT PIVOT DOBLE LACA BLANCO MAT 9003 + VIDRIO MATE ;PIVOT DOBLE;MATE ;LACA BLANCO MAT 9003
PAV.0602.L.NMT;PUERTA PA MONT PIVOT DOBLE LACA NEGRO MATE TEXT + VIDRIO MATE ;PIVOT DOBLE;MATE ;LACA NEGRO MATE TEXT
PAV.0602.L.C;PUERTA PA MONT PIVOT DOBLE LACADO CORTEN + VIDRIO MATE ;PIVOT DOBLE;MATE ;LACADO CORTEN
PAV.0602.C.RB;PUERTA PA MONT PIVOT DOBLE CHAPA ROBLE + VIDRIO MATE ;PIVOT DOBLE;MATE ;CHAPA ROBLE
